Name,Price,Day,League
Mirror of Kalandra,16203.29412,1,Scourge
Mirror of Kalandra,5850.67105,2,Scourge
Mirror of Kalandra,6674.04369,3,Scourge
Mirror of Kalandra,7031.82237,4,Scourge
Mirror of Kalandra,7277.56347,5,Scourge
Mirror of Kalandra,8813.7825,6,Scourge
Mirror of Kalandra,10574.71658,7,Scourge
Mirror of Kalandra,10102.41182,8,Scourge
Mirror of Kalandra,10628.32885,9,Scourge
Mirror of Kalandra,12161.29218,10,Scourge
Mirror of Kalandra,15283.95705,11,Scourge
Mirror of Kalandra,15566.95968,12,Scourge
Mirror of Kalandra,16916.0997,13,Scourge
Mirror of Kalandra,17280,14,Scourge
Mirror of Kalandra,17298.89531,15,Scourge
Mirror of Kalandra,18099.24505,16,Scourge
Mirror of Kalandra,20172.98265,17,Scourge
Mirror of Kalandra,22477,18,Scourge
Mirror of Kalandra,24278.86053,19,Scourge
Mirror of Kalandra,25810,20,Scourge
Mirror of Kalandra,25595.2787,21,Scourge
Mirror of Kalandra,24855.41763,22,Scourge
Mirror of Kalandra,25230,23,Scourge
Mirror of Kalandra,26644.73631,24,Scourge
Mirror of Kalandra,30878.9205,25,Scourge
Mirror of Kalandra,31233.2087,26,Scourge
Mirror of Kalandra,30364.65497,27,Scourge
Mirror of Kalandra,29279.71491,28,Scourge
Mirror of Kalandra,29700.833333333332,29,Scourge
Mirror Shard,1072.23322,1,Scourge
Mirror Shard,624,2,Scourge
Mirror Shard,521.41818,3,Scourge
Mirror Shard,499.74249,4,Scourge
Mirror Shard,530.73608,5,Scourge
Mirror Shard,624,6,Scourge
Mirror Shard,630.5,7,Scourge
Mirror Shard,637,8,Scourge
Mirror Shard,765.1854,9,Scourge
Mirror Shard,879.25117,10,Scourge
Mirror Shard,915,11,Scourge
Mirror Shard,960,12,Scourge
Mirror Shard,966.94625,13,Scourge
Mirror Shard,907.5,14,Scourge
Mirror Shard,984,15,Scourge
Mirror Shard,1058.50398,16,Scourge
Mirror Shard,1263.5,17,Scourge
Mirror Shard,1359.86891,18,Scourge
Mirror Shard,1402.30202,19,Scourge
Mirror Shard,1396.5,20,Scourge
Mirror Shard,1323,21,Scourge
Mirror Shard,1305,22,Scourge
Mirror Shard,1371.30996,23,Scourge
Mirror Shard,1531.95586,24,Scourge
Mirror Shard,1752,25,Scourge
Mirror Shard,1667.5,26,Scourge
Mirror Shard,1595,27,Scourge
Mirror Shard,1522.5,28,Scourge
Maven's Orb,858,1,Scourge
Maven's Orb,140,2,Scourge
Maven's Orb,115.72543,3,Scourge
Maven's Orb,120,4,Scourge
Maven's Orb,118.5,5,Scourge
Maven's Orb,160.41964,6,Scourge
Maven's Orb,237.5,7,Scourge
Maven's Orb,240,8,Scourge
Maven's Orb,196,9,Scourge
Maven's Orb,266.00366,10,Scourge
Maven's Orb,373.65,11,Scourge
Maven's Orb,372,12,Scourge
Maven's Orb,360,13,Scourge
Maven's Orb,360,14,Scourge
Maven's Orb,362.59264,15,Scourge
Maven's Orb,369,16,Scourge
Maven's Orb,378,17,Scourge
Maven's Orb,398.31838,18,Scourge
Maven's Orb,419.96862,19,Scourge
Maven's Orb,588.1115,20,Scourge
Maven's Orb,588,21,Scourge
Maven's Orb,588,22,Scourge
Maven's Orb,579.00013,23,Scourge
Maven's Orb,507.5,24,Scourge
Maven's Orb,507.5,25,Scourge
Maven's Orb,579.57814,26,Scourge
Maven's Orb,580,27,Scourge
Maven's Orb,580,28,Scourge
Maven's Orb,580,29,Scourge
Tempering Orb,77.49392,1,Scourge
Tempering Orb,54.44444,2,Scourge
Tempering Orb,64,3,Scourge
Tempering Orb,55,4,Scourge
Tempering Orb,68.02571,5,Scourge
Tempering Orb,60,6,Scourge
Tempering Orb,75.67154,7,Scourge
Tempering Orb,70.82893,8,Scourge
Tempering Orb,75,9,Scourge
Tempering Orb,84.16935,10,Scourge
Tempering Orb,182.5451,11,Scourge
Tempering Orb,186,12,Scourge
Tempering Orb,180,13,Scourge
Tempering Orb,133.68421,14,Scourge
Tempering Orb,166.57395,15,Scourge
Tempering Orb,180.5527,16,Scourge
Tempering Orb,187.9512,17,Scourge
Tempering Orb,273.06667,18,Scourge
Tempering Orb,283.03226,19,Scourge
Tempering Orb,295.00443,20,Scourge
Tempering Orb,296,21,Scourge
Tempering Orb,367.45605,22,Scourge
Tempering Orb,362.5,23,Scourge
Tempering Orb,361.93902,24,Scourge
Tempering Orb,362.4094,25,Scourge
Tempering Orb,363,26,Scourge
Tempering Orb,360.64855,27,Scourge
Tempering Orb,362.5,28,Scourge
Tempering Orb,423.94736842105266,29,Scourge
Awakener's Orb,165.64143,1,Scourge
Awakener's Orb,140.35169,2,Scourge
Awakener's Orb,158,3,Scourge
Awakener's Orb,160,4,Scourge
Awakener's Orb,158,5,Scourge
Awakener's Orb,203.66396,6,Scourge
Awakener's Orb,237.5,7,Scourge
Awakener's Orb,242.5,8,Scourge
